protein	scaffold	accession	name
MP_LCAL0064___contig_1_fragment_13_1258	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1259	MP_LCAL0064___contig_1_fragment_13	K09022	"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
MP_LCAL0064___contig_1_fragment_13_1260	MP_LCAL0064___contig_1_fragment_13	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]
GCA_004001205___contig_1_fragment_11_1342	GCA_004001205___contig_1_fragment_11	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
GCA_004001205___contig_1_fragment_11_1343	GCA_004001205___contig_1_fragment_11	PF05382.13	Bacteriophage peptidoglycan hydrolase
GCA_004001205___contig_1_fragment_11_1344	GCA_004001205___contig_1_fragment_11	PF16938.5	Putative phage holin Dp-1
GCA_004001205___contig_1_fragment_11_1345	GCA_004001205___contig_1_fragment_11	PF10779.9	Haemolysin XhlA
GCA_004001205___contig_1_fragment_11_1346	GCA_004001205___contig_1_fragment_11	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
GCA_004001205___contig_1_fragment_11_1347	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1348	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1349	GCA_004001205___contig_1_fragment_11	VOG18935	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1350	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1351	GCA_004001205___contig_1_fragment_11	VOG00452	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1352	GCA_004001205___contig_1_fragment_11	VOG01075	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1353	GCA_004001205___contig_1_fragment_11	VOG00183	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1354	GCA_004001205___contig_1_fragment_11	VOG21220	REFSEQ phage tape measure protein
GCA_004001205___contig_1_fragment_11_1355	GCA_004001205___contig_1_fragment_11	VOG10276	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1356	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1357	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1358	GCA_004001205___contig_1_fragment_11	VOG01483	REFSEQ major tail protein
GCA_004001205___contig_1_fragment_11_1359	GCA_004001205___contig_1_fragment_11	VOG00870	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1360	GCA_004001205___contig_1_fragment_11	PF11114.8	Minor capsid protein
GCA_004001205___contig_1_fragment_11_1361	GCA_004001205___contig_1_fragment_11	VOG04818	sp|Q04769|YG35_BPLLH Uncharacterized protein ORF5
GCA_004001205___contig_1_fragment_11_1362	GCA_004001205___contig_1_fragment_11	VOG00918	sp|Q04768|YG34_BPLLH Uncharacterized protein ORF4
GCA_004001205___contig_1_fragment_11_1363	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1364	GCA_004001205___contig_1_fragment_11	VOG00241	sp|P19727|CAPSB_BPT7 Minor capsid protein
GCA_004001205___contig_1_fragment_11_1365	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1366	GCA_004001205___contig_1_fragment_11	PF06810.11	Phage minor structural protein GP20
GCA_004001205___contig_1_fragment_11_1367	GCA_004001205___contig_1_fragment_11	VOG01829	sp|Q04765|VSP1_BPLLH Structural protein
GCA_004001205___contig_1_fragment_11_1368	GCA_004001205___contig_1_fragment_11	VOG01829	sp|Q04765|VSP1_BPLLH Structural protein
GCA_004001205___contig_1_fragment_11_1369	GCA_004001205___contig_1_fragment_11	VOG00639	REFSEQ portal protein
GCA_004001205___contig_1_fragment_11_1370	GCA_004001205___contig_1_fragment_11	PF17288.2	Terminase RNAseH like domain
GCA_004001205___contig_1_fragment_11_1371	GCA_004001205___contig_1_fragment_11	K06909	xtmB; phage terminase large subunit
GCA_004001205___contig_1_fragment_11_1372	GCA_004001205___contig_1_fragment_11	K06909	xtmB; phage terminase large subunit
GCA_004001205___contig_1_fragment_11_1373	GCA_004001205___contig_1_fragment_11	K07474	xtmA; phage terminase small subunit
GCA_004001205___contig_1_fragment_11_1374	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1375	GCA_004001205___contig_1_fragment_11	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_004001205___contig_1_fragment_11_1376	GCA_004001205___contig_1_fragment_11	VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region
GCA_004001205___contig_1_fragment_11_1377	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1378	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1379	GCA_004001205___contig_1_fragment_11	VOG10295	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1380	GCA_004001205___contig_1_fragment_11	VOG10294	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1381	GCA_004001205___contig_1_fragment_11	PF05866.11	Endodeoxyribonuclease RusA
GCA_004001205___contig_1_fragment_11_1382	GCA_004001205___contig_1_fragment_11	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_004001205___contig_1_fragment_11_1383	GCA_004001205___contig_1_fragment_11	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_004001205___contig_1_fragment_11_1384	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1385	GCA_004001205___contig_1_fragment_11	PF09681.10	N-terminal phage replisome organiser (Phage_rep_org_N)
GCA_004001205___contig_1_fragment_11_1386	GCA_004001205___contig_1_fragment_11	PF16784.5	Putative HNHc nuclease
GCA_004001205___contig_1_fragment_11_1387	GCA_004001205___contig_1_fragment_11	PF12684.7	PDDEXK-like domain of unknown function (DUF3799)
GCA_004001205___contig_1_fragment_11_1388	GCA_004001205___contig_1_fragment_11	PF03837.14	RecT family
GCA_004001205___contig_1_fragment_11_1389	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1390	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1391	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1392	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1393	GCA_004001205___contig_1_fragment_11	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
GCA_004001205___contig_1_fragment_11_1394	GCA_004001205___contig_1_fragment_11	None	hypothetical protein
GCA_004001205___contig_1_fragment_11_1395	GCA_004001205___contig_1_fragment_11	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI
GCA_004001205___contig_1_fragment_11_1396	GCA_004001205___contig_1_fragment_11	VOG01271	sp|O31942|YONS_BACSU SPBc2 prophage-derived uncharacterized lipoprotein YonS
GCA_004001205___contig_1_fragment_11_1397	GCA_004001205___contig_1_fragment_11	VOG18091	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_11_1398	GCA_004001205___contig_1_fragment_11	K06400	spoIVCA; site-specific DNA recombinase
GCA_004001205___contig_1_fragment_11_1399	GCA_004001205___contig_1_fragment_11	K06400	spoIVCA; site-specific DNA recombinase
GCA_004001205___contig_1_fragment_12_1415	GCA_004001205___contig_1_fragment_12	PF05382.13	Bacteriophage peptidoglycan hydrolase
GCA_004001205___contig_1_fragment_12_1416	GCA_004001205___contig_1_fragment_12	PF16938.5	Putative phage holin Dp-1
GCA_004001205___contig_1_fragment_12_1417	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1418	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1419	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1420	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1421	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1422	GCA_004001205___contig_1_fragment_12	VOG13479	REFSEQ gp067
GCA_004001205___contig_1_fragment_12_1423	GCA_004001205___contig_1_fragment_12	VOG21997	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_12_1424	GCA_004001205___contig_1_fragment_12	VOG00824	REFSEQ putative antireceptor
GCA_004001205___contig_1_fragment_12_1425	GCA_004001205___contig_1_fragment_12	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
GCA_004001205___contig_1_fragment_12_1426	GCA_004001205___contig_1_fragment_12	VOG02632	REFSEQ gp14
GCA_004001205___contig_1_fragment_12_1427	GCA_004001205___contig_1_fragment_12	VOG01394	REFSEQ hypothetical protein
GCA_004001205___contig_1_fragment_12_1428	GCA_004001205___contig_1_fragment_12	PF12363.8	"Phage tail assembly chaperone protein, TAC"
GCA_004001205___contig_1_fragment_12_1429	GCA_004001205___contig_1_fragment_12	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
GCA_004001205___contig_1_fragment_12_1430	GCA_004001205___contig_1_fragment_12	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
GCA_004001205___contig_1_fragment_12_1431	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1432	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1433	GCA_004001205___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]
GCA_004001205___contig_1_fragment_12_1434	GCA_004001205___contig_1_fragment_12	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_004001205___contig_1_fragment_12_1435	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1436	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1437	GCA_004001205___contig_1_fragment_12	VOG00459	REFSEQ putative CI-like transcriptional repressor
GCA_004001205___contig_1_fragment_12_1438	GCA_004001205___contig_1_fragment_12	None	hypothetical protein
GCA_004001205___contig_1_fragment_12_1439	GCA_004001205___contig_1_fragment_12	K09022	"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
GCA_004001205___contig_1_fragment_12_1440	GCA_004001205___contig_1_fragment_12	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]
GCA_025728675___contig_42_fragment_2_123	GCA_025728675___contig_42_fragment_2	PF05382.13	Bacteriophage peptidoglycan hydrolase
GCA_025728675___contig_42_fragment_2_124	GCA_025728675___contig_42_fragment_2	PF16938.5	Putative phage holin Dp-1
GCA_025728675___contig_42_fragment_2_125	GCA_025728675___contig_42_fragment_2	PF10779.9	Haemolysin XhlA
GCA_025728675___contig_42_fragment_2_126	GCA_025728675___contig_42_fragment_2	None	hypothetical protein
GCA_025728675___contig_42_fragment_2_127	GCA_025728675___contig_42_fragment_2	None	hypothetical protein
GCA_025728675___contig_42_fragment_2_128	GCA_025728675___contig_42_fragment_2	VOG13479	REFSEQ gp067
GCA_025728675___contig_42_fragment_2_129	GCA_025728675___contig_42_fragment_2	VOG00824	REFSEQ putative antireceptor
GCA_025728675___contig_42_fragment_2_130	GCA_025728675___contig_42_fragment_2	None	hypothetical protein
GCA_025728675___contig_42_fragment_2_131	GCA_025728675___contig_42_fragment_2	VOG02333	REFSEQ tail tape measure protein
GCA_025728675___contig_42_fragment_2_132	GCA_025728675___contig_42_fragment_2	None	hypothetical protein
GCA_025728675___contig_42_fragment_2_133	GCA_025728675___contig_42_fragment_2	VOG01397	REFSEQ major tail protein
GCA_025728675___contig_42_fragment_2_134	GCA_025728675___contig_42_fragment_2	VOG00973	REFSEQ hypothetical protein
GCA_025728675___contig_42_fragment_2_135	GCA_025728675___contig_42_fragment_2	VOG23091	REFSEQ hypothetical protein
GCA_025728675___contig_42_fragment_2_136	GCA_025728675___contig_42_fragment_2	VOG23090	REFSEQ head-tail adaptor
GCA_025728675___contig_42_fragment_2_137	GCA_025728675___contig_42_fragment_2	VOG23089	REFSEQ hypothetical protein
GCA_025728675___contig_42_fragment_2_138	GCA_025728675___contig_42_fragment_2	PF05065.13	Phage capsid family
GCA_025728675___contig_42_fragment_2_139	GCA_025728675___contig_42_fragment_2	K06904	K06904; uncharacterized protein
GCA_025728675___contig_42_fragment_2_140	GCA_025728675___contig_42_fragment_2	PF04860.12	Phage portal protein
GCA_025728675___contig_42_fragment_2_141	GCA_025728675___contig_42_fragment_2	PF03354.15	Phage Terminase
GCA_025728675___contig_42_fragment_2_142	GCA_025728675___contig_42_fragment_2	None	hypothetical protein
GCA_025728675___contig_42_fragment_2_143	GCA_025728675___contig_42_fragment_2	VOG00679	REFSEQ HNH endonuclease
GCA_025728675___contig_42_fragment_2_144	GCA_025728675___contig_42_fragment_2	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_025728675___contig_42_fragment_2_145	GCA_025728675___contig_42_fragment_2	VOG00724	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase
GCA_025728675___contig_42_fragment_2_146	GCA_025728675___contig_42_fragment_2	VOG00674	REFSEQ putative DNA polymerase
GCA_025728675___contig_42_fragment_2_147	GCA_025728675___contig_42_fragment_2	None	hypothetical protein
GCA_025728675___contig_42_fragment_2_148	GCA_025728675___contig_42_fragment_2	None	hypothetical protein
GCA_025728675___contig_42_fragment_2_149	GCA_025728675___contig_42_fragment_2	VOG03001	REFSEQ hypothetical protein
GCA_025728675___contig_42_fragment_2_150	GCA_025728675___contig_42_fragment_2	PF13479.6	AAA domain
GCA_025728675___contig_42_fragment_2_151	GCA_025728675___contig_42_fragment_2	None	hypothetical protein
GCA_025728675___contig_42_fragment_2_152	GCA_025728675___contig_42_fragment_2	VOG00399	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
GCA_025728675___contig_42_fragment_2_153	GCA_025728675___contig_42_fragment_2	VOG00523	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
GCA_025728615___contig_13_1	GCA_025728615___contig_13	None	hypothetical protein
GCA_025728615___contig_13_2	GCA_025728615___contig_13	None	hypothetical protein
GCA_025728615___contig_13_3	GCA_025728615___contig_13	VOG00523	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
GCA_025728615___contig_13_4	GCA_025728615___contig_13	VOG00399	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
GCA_025728615___contig_13_5	GCA_025728615___contig_13	None	hypothetical protein
GCA_025728615___contig_13_6	GCA_025728615___contig_13	PF13479.6	AAA domain
GCA_025728615___contig_13_7	GCA_025728615___contig_13	VOG03001	REFSEQ hypothetical protein
GCA_025728615___contig_13_8	GCA_025728615___contig_13	None	hypothetical protein
GCA_025728615___contig_13_9	GCA_025728615___contig_13	None	hypothetical protein
GCA_025728615___contig_13_10	GCA_025728615___contig_13	VOG00674	REFSEQ putative DNA polymerase
GCA_025728615___contig_13_11	GCA_025728615___contig_13	VOG00724	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase
GCA_025728615___contig_13_12	GCA_025728615___contig_13	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_025728615___contig_13_13	GCA_025728615___contig_13	VOG00679	REFSEQ HNH endonuclease
GCA_025728615___contig_13_14	GCA_025728615___contig_13	None	hypothetical protein
GCA_025728615___contig_13_15	GCA_025728615___contig_13	PF03354.15	Phage Terminase
GCA_025728615___contig_13_16	GCA_025728615___contig_13	PF04860.12	Phage portal protein
GCA_025728615___contig_13_17	GCA_025728615___contig_13	K06904	K06904; uncharacterized protein
GCA_025728615___contig_13_18	GCA_025728615___contig_13	PF05065.13	Phage capsid family
GCA_025728615___contig_13_19	GCA_025728615___contig_13	VOG23089	REFSEQ hypothetical protein
GCA_025728615___contig_13_20	GCA_025728615___contig_13	VOG23090	REFSEQ head-tail adaptor
GCA_025728615___contig_13_21	GCA_025728615___contig_13	VOG23091	REFSEQ hypothetical protein
GCA_025728615___contig_13_22	GCA_025728615___contig_13	VOG00973	REFSEQ hypothetical protein
GCA_025728615___contig_13_23	GCA_025728615___contig_13	VOG01397	REFSEQ major tail protein
GCA_025728615___contig_13_24	GCA_025728615___contig_13	None	hypothetical protein
GCA_025728615___contig_13_25	GCA_025728615___contig_13	VOG02333	REFSEQ tail tape measure protein
GCA_025728615___contig_13_26	GCA_025728615___contig_13	None	hypothetical protein
GCA_025728615___contig_13_27	GCA_025728615___contig_13	VOG00824	REFSEQ putative antireceptor
MP_BCQMy205___contig_3_1	MP_BCQMy205___contig_3	K07467	rstA1; phage replication initiation protein
MP_BCQMy205___contig_3_2	MP_BCQMy205___contig_3	None	hypothetical protein
MP_BCQMy205___contig_3_3	MP_BCQMy205___contig_3	None	hypothetical protein
MP_BCQMy205___contig_3_4	MP_BCQMy205___contig_3	None	hypothetical protein
MP_BCQMy205___contig_3_5	MP_BCQMy205___contig_3	PF07564.11	Domain of Unknown Function (DUF1542)
MP_BCQMy205___contig_3_6	MP_BCQMy205___contig_3	None	hypothetical protein
MP_BCQMy205___contig_3_7	MP_BCQMy205___contig_3	PF00239.21	"Resolvase, N terminal domain"
MP_BCQMy205___contig_3_8	MP_BCQMy205___contig_3	VOG19011	REFSEQ hypothetical protein
MP_BCQMy205___contig_3_9	MP_BCQMy205___contig_3	None	hypothetical protein
MP_BCQMy205___contig_3_10	MP_BCQMy205___contig_3	PF03318.13	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
MP_BCQMy205___contig_3_11	MP_BCQMy205___contig_3	K01972	"E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]"
MP_BCQMy205___contig_3_12	MP_BCQMy205___contig_3	PF17363.2	Family of unknown function (DUF5388)
MP_BCQMy205___contig_3_13	MP_BCQMy205___contig_3	K03496	"parA, soj; chromosome partitioning protein"
MP_BCQMy205___contig_3_14	MP_BCQMy205___contig_3	None	hypothetical protein
MP_BCQMy205___contig_3_15	MP_BCQMy205___contig_3	None	hypothetical protein
MP_BCQMy205___contig_3_16	MP_BCQMy205___contig_3	None	hypothetical protein
MP_BCQMy205___contig_3_17	MP_BCQMy205___contig_3	VOG01473	REFSEQ FtsK/SpoIIIE protein
GCA_001047455___contig_8_1	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_2	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_3	GCA_001047455___contig_8	PF00239.21	"Resolvase, N terminal domain"
GCA_001047455___contig_8_4	GCA_001047455___contig_8	VOG19011	REFSEQ hypothetical protein
GCA_001047455___contig_8_5	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_6	GCA_001047455___contig_8	PF03318.13	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
GCA_001047455___contig_8_7	GCA_001047455___contig_8	K01972	"E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]"
GCA_001047455___contig_8_8	GCA_001047455___contig_8	PF17363.2	Family of unknown function (DUF5388)
GCA_001047455___contig_8_9	GCA_001047455___contig_8	K03496	"parA, soj; chromosome partitioning protein"
GCA_001047455___contig_8_10	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_11	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_12	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_13	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_14	GCA_001047455___contig_8	VOG01473	REFSEQ FtsK/SpoIIIE protein
GCA_001047455___contig_8_15	GCA_001047455___contig_8	K07467	rstA1; phage replication initiation protein
GCA_001047455___contig_8_16	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_17	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_18	GCA_001047455___contig_8	None	hypothetical protein
GCA_001047455___contig_8_19	GCA_001047455___contig_8	PF07564.11	Domain of Unknown Function (DUF1542)
GCA_025728635___contig_34_1	GCA_025728635___contig_34	PF05382.13	Bacteriophage peptidoglycan hydrolase
GCA_025728635___contig_34_2	GCA_025728635___contig_34	PF16938.5	Putative phage holin Dp-1
GCA_025728635___contig_34_3	GCA_025728635___contig_34	None	hypothetical protein
GCA_025728635___contig_34_4	GCA_025728635___contig_34	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
GCA_025728635___contig_34_5	GCA_025728635___contig_34	None	hypothetical protein
GCA_025728635___contig_34_6	GCA_025728635___contig_34	None	hypothetical protein
GCA_025728635___contig_34_7	GCA_025728635___contig_34	None	hypothetical protein
GCA_025728635___contig_22_1	GCA_025728635___contig_22	VOG00824	REFSEQ putative antireceptor
GCA_025728635___contig_22_2	GCA_025728635___contig_22	None	hypothetical protein
GCA_025728635___contig_22_3	GCA_025728635___contig_22	VOG02333	REFSEQ tail tape measure protein
GCA_025728635___contig_22_4	GCA_025728635___contig_22	None	hypothetical protein
GCA_025728635___contig_22_5	GCA_025728635___contig_22	VOG01397	REFSEQ major tail protein
GCA_025728635___contig_22_6	GCA_025728635___contig_22	VOG00973	REFSEQ hypothetical protein
